ano;tipo_ingresso;regime_juridico;genero;grupo_cargo;quantidade_ingressos
2010;Concurso;Estatutário;Feminino;Carreira Procurador Da Fazenda Nacional;102
2010;Concurso;Estatutário;Feminino;Carreira Prod Anali Inf Geog Estatistica;22
2010;Concurso;Estatutário;Feminino;Carreira Sup Plan Gest Inf Est Prop Ind;1
2010;Concurso;Estatutário;Feminino;Carreira Sup Tec C&T Pro Inov Saude Publ;1
2010;Concurso;Estatutário;Feminino;Carreiras De Pesq.Em Cienc.E Tecnologia;14
2010;Concurso;Estatutário;Feminino;Defesa Aerea E Controle De Trafego Aereo;6
2010;Concurso;Estatutário;Feminino;Diplomacia;23
2010;Concurso;Estatutário;Feminino;Especialista Em Meio Ambiente;63
2010;Concurso;Estatutário;Feminino;Especialista Em Metrol E Qualid Senior;1
2010;Concurso;Estatutário;Feminino;Estrutura Remun Cargos Esp - Lei 12277;47
2010;Concurso;Estatutário;Feminino;Gestao;10
2010;Concurso;Estatutário;Feminino;Hfa / Carreira De Especialista / Ns;14
2010;Concurso;Estatutário;Feminino;Hfa / Carreira Medica;38
2010;Concurso;Estatutário;Feminino;Hfa / Carreira Suporte / Ni;30
2010;Concurso;Estatutário;Feminino;Mag.Superior E 1 E 2 Graus Lei 7596/87;452
2010;Concurso;Estatutário;Feminino;Pccdpu - Estrutura Remuneratoria Cargos;2
2010;Concurso;Estatutário;Feminino;Planej.Infra-Estrut.Cienc.E Tecnologia;147
2010;Concurso;Estatutário;Feminino;Plano Carreira Cargos Tec Aux Agropec;19
2010;Concurso;Estatutário;Feminino;Plano De Carreira Dos Cargos Tae-Ife;5795
2010;Concurso;Estatutário;Feminino;Plano De Carreiras Da Abin;10
2010;Concurso;Estatutário;Feminino;Plano De Carreiras E Cargos-Pccdpu - Ns;65
2010;Concurso;Estatutário;Feminino;Plano De Carreiras E Cargos-Pccdpu-Ni;7
2010;Concurso;Estatutário;Feminino;Plano Esp De Cargos Do Minist Da Fazenda;359
2010;Concurso;Estatutário;Feminino;Plano Especial De Cargos - Suframa;4
2010;Concurso;Estatutário;Feminino;Plano Especial De Cargos Da Cultura;345
2010;Concurso;Estatutário;Feminino;Plano Especial De Cargos Do Mma/Ibama;29
2010;Concurso;Estatutário;Feminino;Plano Geral De Cargos Do Poder Executivo;829
2010;Concurso;Estatutário;Feminino;Plano Geral De Cargos Poder Executivo-Na;6
2010;Concurso;Estatutário;Feminino;Plano Geral De Cargos Poder Executivo-Ni;969
2010;Concurso;Estatutário;Feminino;Quadro De Pessoal Agencia Nac. De Aguas;51
2010;Concurso;Estatutário;Feminino;Receita Federal Brasil;157
2010;Concurso;Estatutário;Feminino;Receita Federal Do Brasil;220
2010;Concurso;Estatutário;Feminino;-;2
2010;Processo Seletivo;Contrato Temporário;Feminino;Car.Mag.Ensino Basico Federal Mp/431/08;8
2010;Processo Seletivo;Contrato Temporário;Feminino;Car.Mag.Ensino Basico Tec.Tecn.Mp/431/08;2319
2010;Processo Seletivo;Contrato Temporário;Feminino;Contrato Lei 8745/93 - Dec 4748/2003;8
2010;Processo Seletivo;Contrato Temporário;Feminino;Contrato Temporario Lei 8745/93;730
2010;Processo Seletivo;Contrato Temporário;Feminino;Mag.Superior E 1 E 2 Graus Lei 7596/87;6110
2010;Concurso;Estatutário;Masculino;Car.Mag.Ensino Basico Federal Mp/431/08;4
